Season,Episode,Title,Writer,Director,Date Aired,Summary,Rating/Share,US Viewership (in millions)
9,21,The One With The Fertility Test,"Teleplay by Robert Carlock, Story by Scott Silveri",Gary Halvorson,01-05-03,"Ross is hurt when brilliant Charlie starts dating shallow Joey. However, Joey asks him for advice on how to impress her. Meanwhile, Chandler and Monica have a chance encounter at a fertility clinic.",12.8/21,19.03
9,22,The One With The Donor,Andrew Reich & Ted Cohen,Ben Weiss,08-05-03,"Sad to learn that they cannot conceive naturally, Monica and Chandler mull their options. Chandler brings home a handsome, unknowing co-worker for dinner to ""interview"" him as a potential sperm donor. After deciding that having a sperm donor is not right for them, they decide to adopt.",12.8/21,19.55
9,23,"The One In Barbados, Part 1",Shana Goldberg-Meehan & Scott Silveri,Kevin S. Bright,15-05-03,"Ross procures free passes for his friends to a paleontologists' convention in Barbados, then scrambles to reconstruct - with Charlie's help - his keynote address after its accidental erasure from his computer. Mike arrives to win Phoebe back.",12.8/21,19.55
9,24,"The One In Barbados, Part 2",Marta Kauffman & David Crane,Kevin S. Bright,15-05-03,Monica and Mike play a heated game of ping pong. Rachel can't hide her feelings for Joey any longer...,16.0/26,25.46
10,1,The One After Joey And Rachel Kiss,Andrew Reich & Ted Cohen,Kevin S. Bright,25-09-03,"Romantic hookups continue to go astray in Barbados as Monica, Phoebe and Chandler overhear Ross kissing Charlie, while through the room's other wall they can eavesdrop on Joey and Rachel.",15.6/25,24.54
10,2,The One Where Ross Is Fine,Sherry Bilsing-Graham & Ellen Plummer,Ben Weiss,02-10-03,"Rachel, Joey and Charlie spend an uncomfortable evening with Ross while Chandler commits an unpardonable act when he and Monica visit a couple who have adopted a cute boy. Phoebe is visited by a desperate Frank Jr., who can't cope with his triplets.",15.1/24,22.38
10,3,The One With Ross' Tan,Brian Buckner,Gary Halvorson,09-10-03,"Rachel and Joey nervously anticipate their first real ""night"" together. Monica and Phoebe try to avoid an obnoxious old friend who puts on airs and a fake accent. Ross envies Monica's sprayed-on tan and enters the tanning booth, where two-toned disaster strikes.",14.0/22,21.87
10,4,The One With The Cake,Robert Carlock,Gary Halvorson,23-10-03,Rachel convinces Monica to delay a long anticipated trip to Vermont. But complications ensue when an X-rated birthday cake arrives.,12.4/20,18.77
10,5,The One Where Rachel's Sister Baby-Sits,Dana Klein Borkow,Robert Christiansen,30-10-03,Rachel convinces spoiled sister Amy to baby-sit Emma over Ross's protests. Phoebe unknowingly thwarts Mike's surprise for her. Joey scares Monica and Chandler with a recommendation letter on their behalf to a child adoption agency.,13.0/21,19.37
10,6,The One With Ross' Grant,Sebastian Jones,Ben Weiss,06-11-03,"Ross interviews with a Nobel Prize-winning scientist for a paleontology grant - but the doctor is Charlie's ex-boyfriend, who offers Ross the grant only if he breaks up with her. Phoebe sends Monica and Rachel screaming with her artistic creation of ""Gladys"".",13.4/21,20.38
10,7,The One With The Home Study,Mark J. Kunerth,Kevin S. Bright,13-11-03,Monica and Chandler meet with an adoption worker who will decide if they're suitable parents - and who confesses that she was once romanced by a cad named Joey in the same building.,13.2/21,20.21
10,8,The One With The Late Thanksgiving,Shana Goldberg-Meehan,Gary Halvorson,20-11-03,"Monica prepares a Thanksgiving feast and is furious when no one shows up! When Joey gets stuck in the door, Monica and Chandler have the ideal remedy. Phoebe convinces Rachel to enroll Emma in a baby beauty contest.",13.4/21,20.66
10,9,The One With The Birth Mother,Scott Silveri,David Schwimmer,08-01-04,Monica and Chandler travel to Texas to meet a young pregnant woman who is considering allowing them to adopt her child when it's born. Joey dates Phoebe's friend but annoys her with his territorial eating habits.,15.7/24,25.49
10,10,The One Where Chandler Gets Caught,Doty Abrams,Gary Halvorson,15-01-04,"When Phoebe and Rachel see Chandler getting into a car with a pretty woman, they suspect the worst. When they tell Monica, they learn the woman is a real estate agent - and that the couple's been house-hunting outside Manhattan.",16.6/26,26.68
10,11,The One Where The Stripper Cries,Marta Kauffman & David Crane,Kevin S. Bright,05-02-04,"Joey is a celebrity guest on Pyramid. When Monica and Rachel throw a ""mature"" bachelorette party for Phoebe, they're forced to hire a stripper at the last minute. Chandler and Ross attend their college reunion, where they learn a 1987 dating pact was broken.",16.0/24,24.91
10,12,The One With Phoebe's Wedding,Robert Carlock & Dana Klein Borkow,Kevin S. Bright,12-02-04,Monica's hard-nosed wedding-planner techniques cause Phoebe to fire her. The big day turns chaotic when a blizzard forces a change in plans.,16.3/25,25.90
10,13,The One Where Joey Speaks French,Sherry Bilsing-Graham & Ellen Plummer,Gary Halvorson,19-02-04,"When Phoebe tries teaching Joey to speak French for an audition and fails, she convinces the casting director Joey is retarded. Ross turns down Rachel's request for sympathy sex after her father has a heart attack.",15.2/24,24.27
10,14,The One With Princess Consuela,"Teleplay by Tracy Reilly, Story by Robert Carlock",Gary Halvorson,26-02-04,"Rachel is fired from her job the same day Ross learns that he has gotten tenure. When Phoebe legally changes her name, Mike does so too to teacher her a lesson. Joey goes with Chandler and Monica to check out their new home.",14.6/22,22.83
10,15,The One Where Estelle Dies,"Teleplay by Marta Kauffman & David Crane, Story by Mark J. Kunerth",Gary Halvorson,22-04-04,Phoebe tries to protect Joey from the news that his agent Estelle has died. Monica and Chandler check out the house next door to theirs - and discover that Chandler's ex-girlfriend Janice is interested in buying it.,14.4/24,22.64
10,16,The One With Rachel's Going Away Party,Andrew Reich & Ted Cohen,Gary Halvorson,29-04-04,"Ross goes berserk when Rachel decides that Monica's farewell party is the perfect time to share a private, tearful goodbye with each friend - with the single exception of Ross!",15.5/25,24.51
10,17,"The Last One, Part 1",Marta Kauffman & David Crane,Kevin S. Bright,06-05-04,"Set to embark on the next chapters in their lives, the six friends spend their last day together, and it's one of the momentous events, major decisions about personal futures and last-minute surprises.
Part 1 of 2.",29.8/43,52.46
10,18,"The Last One, Part 2",Marta Kauffman & David Crane,Kevin S. Bright,06-05-04,"Set to embark on the next chapters in their lives, the six friends spend their last day together, and it's one of the momentous events, major decisions about personal futures and last-minute surprises.
Part 2 of 2.",29.8/43,52.46
